 ------------------------------+------------------------------+------------------------------+--------------------+--------------------+--------------------+--------------------
|           Category           |         Subcategory          |         Product Type         | Kid's & Baby Flag  |      Men Flag      |    Mother Flag     |  Night Care Flag   |
 ------------------------------+------------------------------+------------------------------+--------------------+--------------------+--------------------+--------------------
 ------------------------------+------------------------------+------------------------------+--------------------+--------------------+--------------------+--------------------
|             baby             |             baby             |       baby_bubble_bath       |         Y          |                    |                    |                    |
|                              |                              |         baby_lotion          |         Y          |                    |                    |                    |
|                              |                              |           baby_oil           |         Y          |                    |                    |                    |
|                              |                              |         baby_powder          |         Y          |                    |                    |                    |
|                              |                              |         baby_shampoo         |         Y          |                    |                    |                    |
|                              |                              |      baby_soaps_washes       |         Y          |                    |                    |                    |
|                              |                              |       baby_toothpaste        |         Y          |                    |                    |                    |
|                              |                              |          baby_wipes          |         Y          |                    |                    |                    |
|                              |                              |      diaper_rash_creams      |         Y          |                    |                    |                    |
|                              |           sun_care           |        body_sunscreen        |                    |                    |                    |                    |
 ------------------------------+------------------------------+------------------------------+--------------------+--------------------+--------------------+--------------------
|          bath_body           |         bath_shower          |    bath_salts_oils_soaks     |                    |                    |                    |                    |
|                              |                              |    body_scrubs_exfoliants    |                    |                    |                    |                    |
|                              |                              |         bubble_baths         |                    |                    |                    |                    |
|                              |                              |     shower_gel_body_wash     |                    |                    |                    |                    |
|                              |      body_moisturizers       |     body_lotions_creams      |                    |                    |                    |                    |
|                              |                              |          body_mists          |                    |                    |                    |                    |
|                              |                              |          body_oils           |                    |                    |                    |                    |
|                              |        hand_foot_care        |    foot_creams_treatments    |                    |                    |                    |                    |
|                              |                              |    hand_creams_treatments    |                    |                    |                    |                    |
|                              |                              |       hand_sanitizers        |                    |                    |                    |                    |
|                              |                              |      hand_soaps_washes       |                    |                    |                    |                    |
|                              |        personal_care         |       balms_ointments        |                    |                    |                    |                    |
|                              |                              |          bar_soaps           |                    |                    |                    |                    |
|                              |                              |         body_powders         |                    |                    |                    |                    |
|                              |                              |   cellulite_stretch_marks    |                    |                    |         Y          |                    |
|                              |                              |          deodorants          |                    |                    |                    |                    |
|                              |                              |          fragrance           |                    |                    |                    |                    |
|                              |                              |     massage_oils_lotions     |                    |                    |                    |                    |
|                              |                              |            soaps             |                    |                    |                    |                    |
|                              |                              |            wipes             |                    |                    |                    |                    |
 ------------------------------+------------------------------+------------------------------+--------------------+--------------------+--------------------+--------------------
|             hair             |         hair_styling         |        curl_enhancing        |                    |                    |                    |                    |
|                              |                              |          detanglers          |                    |                    |                    |                    |
|                              |                              |         gloss_shine          |                    |                    |                    |                    |
|                              |                              |          hair_spray          |                    |                    |                    |                    |
|                              |                              |          smoothing           |                    |                    |                    |                    |
|                              |                              |        volume_texture        |                    |                    |                    |                    |
|                              |       hair_treatments        |          hair_masks          |                    |                    |                    |                    |
|                              |                              |       hair_oils_serums       |                    |                    |                    |                    |
|                              |                              |   hair_thinning_hair_loss    |                    |                    |                    |                    |
|                              |                              |    leave_in_conditioners     |                    |                    |                    |                    |
|                              |     shampoo_conditioner      |    cleansing_conditioners    |                    |                    |                    |                    |
|                              |                              |         conditioners         |                    |                    |                    |                    |
